User Content,Assistant Content
okay.,4.8 stars out of 5 in over 50 reviews. open till 10 pm.
that's pretty good. awesome. that's within my time range.,"yeah, it is pretty good."
i guess i'll go ahead and look them up and check them out.,"that was quick, alright man you are set."
awesome. i appreciate that.,enjoy.
thank you. i'll try to. enjoy your day.,my pleasure.
"hello. i am at seal beach, california and i'm looking for a restaurant to eat dinner. i'd like it to be casual and also to have table service.","yes, one moment, please. hold on for a second. you could get some french fries at sequoyah burger which is located in sebastopol, california."
"that's sounds creepy. that's all the information i need now. i'm going to leave now, bye.",goodbye.
i would like to find a nice restaurant for dinner.,okay. where were you located?
"i'm in davis, california.","okay, would you like to stay there for dinner?"
"yes, please.",okay. anywhere in davis in particular?
"no, not really. anywhere's fine.",okay. how about food?
i'm looking for thai food.,"okay, and pricing?"
i'm not worried about the price. i need the best quality with a nice atmosphere.,okay. can you describe the atmosphere for me?
casual.,"okay, anything else?"
no.,how about any other preferences?
no other preferences.,"okay. give me one moment, while i look this up."
okay.,"let me describe a couple of options, you can choose from. sounds good?"
yes.,"the first is sophia’s thai kitchen. it has 4.3 stars on google. snug, enduring, and intimate bar & eatery with a tropical vibe offering country-style thai fare & live folk music. really good price and service, however, the food leaves more to be desired."
okay.,"the second is the thai canteen. it’s rated 4.0 stars on google. casual, bold-hued restaurant doling out counter-serve thai food & snacks, plus beer, wine & sake. prices are reasonable, but you don't get any service. they also have outdoor seating there, so it's a great dog friendly place."
i like the first choice.,"sophia's kitchen, is that correct?"
"yes, do you have an address?","yes. here is the address. 403 g street davis, ca."
"perfect, thank you.",you're welcome.
"everything is fine. thank you, bye.","any other questions? okay, great. thank you. goodbye."
i think i'm hungry for some chinese.,"okay, what are you hungry for?"
i'm hungry in chinese.,"okay, i see you're in sacramento, california."
"yeah, that's right.",do you want to stay in sacramento for food?
"yeah, i prefer to stay in sacramento. we've got our hotel down here, it looks like the downtown area, so if it's around here, that would be preferable.",sounds good. i can get some for you.
awesome. thank you.,up to how much do you want to spend?
about $40 a person.,okay. and how high of a ratings?
i don't know.,sounds good. what else do you need in a chinese restaurant?
"just have good ratings and that price range. if it has a buffet, that would be a bonus.","okay, and what time do you want to eat?"
tonight around 8:00.,alright. i found 2 chinese restaurants for you to choose from.
awesome.,"the first is called frank fat's. it has 4.3 stars. elegant 1939 venue serving elevated chinese cuisine in a soaring space with a speak easy vibe. the second is called gam lei sig chinese restaurant. it has 4.4 stars. snug, home mainstay serving up a variety of classic options, from potstickers to peking spareribs. which one do you want?"
second one.,you are all set. bye.
"yeah, i need some help finding a restaurant.","hi, how can i help you? okay, where?"
"la jolla, california.",okay.
"i'm feeling italian, i think. like, medium price range.",what are you feelings?
"italian or how i'm feeling? how about bmi, french?","okay, sounds good. what else?"
casual dining.,alright.
"it needs to be sit down, but like i said, casual. somewhere near the beach.","okay, around what time?"
about 8:00.,"alright, is there anything else?"
i think that'll cover it.,"okay, i found 2 italian restaurants for you to choose from."
okay.,"the first is called piatti, it has 4.6 stars.traditional italian trattoria with an open kitchen & pizzas from a stone-hearth oven, the second is called osteria romantica, it has 4.4 stars. cozy, easygoing italian eatery featuring a rustic vibe, traditional fare & food-friendly wines. those are the two options. which one do you want?"
"okay, the first one sounds a little better.",okay piatti.
"yeah, a little better.","here is the address, 2182 avenida de la playa."
thank you.,enjoy the italian food tonight.
i will think. thank you.,goodbye.
i'm hungry.,"hello, how can i help you? okay it sounds like you're looking for a place to eat, what type of food are you interested in?"
pizza.,what type of pizza place are you interested in?
i am not sure.,"okay, do you have a preference on pizza type?"
slice.,"okay i'll search for places that serve it by the slice. i've found two pizza places that serve pizza by the slice, i'll describe them, and you can pick one, okay?"
okay.,"the first place is uncle vito’s, a new york style pizzeria, with pizza available by the slice, that also serves beer. the second is blondies, a new york style pizzeria, italian restaurent and sports bar, that serves mega slices of pizza."
"okay, thank you so much.","okay i'm glad we could help, goodbye!"
"hi. i'm looking for a mexican restaurant in four hills, california.","okay, please give me a moment. cafe bernado, burgers and brew provides you mexican food."
"okay, does it have outdoor sitting?","yeah, both provides you the outdoor seating."
okay. what were their open hours?,they open for four hours.
okay. that will be up for me. thank you.,thank you.
iam at california restaurant.,okay. hi. how can i help you? what else can you tell me?
"i'm in austin, texas right now. i'm looking for a place to eat around here.",okay.
i want some good texas bbq.,that sounds good. and what else?
all i want the best texas bbq money ain't no thang.,got it got it.
and i need it to be 5 stars and up.,okay.
i do that my kids with me though to make sure it is a family super bowl place.,"okay, and what else are you looking for in a bbq restaurant? alright. is that all?"
let's make sure that it is in the downtown.,okay. let me describe a couple of options you can choose from.
sounds great.,"the first is the cooper's pit bar bbq. it has 4.4 stars. lively spot for pit-smoked meats, classic sides & a full bar in a historic building with a patio. the second is black's bbq. it has 4.1 stars. acclaimed barbecue family offers brisket, ribs, sides & craft beers in a relaxed, wood-decked space. those are the two options."
"okay, let's go look at a townhouse with the first one cooper one.",cooper's pit bar bbq. great. any questions?
